"Team","Losses"
"1102",2
"1103",4
"1104",15
"1105",1
"1106",4
"1107",5
"1108",2
"1110",3
"1111",1
"1112",29
"1113",5
"1114",5
"1115",1
"1116",17
"1117",1
"1120",7
"1122",5
"1123",6
"1124",7
"1125",7
"1127",1
"1129",6
"1130",11
"1131",5
"1133",4
"1135",1
"1137",6
"1138",2
"1139",13
"1140",18
"1141",2
"1142",1
"1143",14
"1144",1
"1145",1
"1148",3
"1149",1
"1150",10
"1151",8
"1153",20
"1155",10
"1156",2
"1157",4
"1158",4
"1159",2
"1160",6
"1161",5
"1163",16
"1164",4
"1165",4
"1166",12
"1167",1
"1168",1
"1169",2
"1172",9
"1173",9
"1174",5
"1175",1
"1177",9
"1178",3
"1179",1
"1180",4
"1181",26
"1183",2
"1184",3
"1185",4
"1186",2
"1187",1
"1190",8
"1191",4
"1192",5
"1193",3
"1194",1
"1195",2
"1196",17
"1197",3
"1198",1
"1199",10
"1200",1
"1201",3
"1203",9
"1204",2
"1206",6
"1207",21
"1208",11
"1209",3
"1210",15
"1211",19
"1214",6
"1217",4
"1218",4
"1220",2
"1221",6
"1222",4
"1224",1
"1225",2
"1226",1
"1227",3
"1228",22
"1229",4
"1231",24
"1232",3
"1233",8
"1234",17
"1235",17
"1237",1
"1238",3
"1239",1
"1241",2
"1242",29
"1243",12
"1245",5
"1246",24
"1247",5
"1248",3
"1249",2
"1250",5
"1251",3
"1253",4
"1254",4
"1256",4
"1257",22
"1258",3
"1259",2
"1260",1
"1261",15
"1264",6
"1265",2
"1266",14
"1267",2
"1268",18
"1269",8
"1270",2
"1272",18
"1273",2
"1274",7
"1275",7
"1276",17
"1277",25
"1278",10
"1279",7
"1280",9
"1281",19
"1283",6
"1284",4
"1285",9
"1286",2
"1287",2
"1288",2
"1290",5
"1291",4
"1292",5
"1293",13
"1294",1
"1295",3
"1296",2
"1298",6
"1299",7
"1300",1
"1301",15
"1304",7
"1305",5
"1307",12
"1308",12
"1309",4
"1310",2
"1311",2
"1313",1
"1314",26
"1316",1
"1317",3
"1318",5
"1319",2
"1320",8
"1322",3
"1323",17
"1324",3
"1325",5
"1326",18
"1328",24
"1329",18
"1330",9
"1331",3
"1332",10
"1333",5
"1334",5
"1335",12
"1336",4
"1337",7
"1338",19
"1339",1
"1340",2
"1341",1
"1343",10
"1344",10
"1345",23
"1347",2
"1348",5
"1350",8
"1351",2
"1352",6
"1353",2
"1354",5
"1355",3
"1356",9
"1358",2
"1359",2
"1360",3
"1361",9
"1362",1
"1363",1
"1364",5
"1365",4
"1368",1
"1369",1
"1371",10
"1372",4
"1373",6
"1374",4
"1375",6
"1376",4
"1378",3
"1379",3
"1380",8
"1381",1
"1382",2
"1384",1
"1385",14
"1386",8
"1387",7
"1388",7
"1389",3
"1390",16
"1392",1
"1393",25
"1394",1
"1395",2
"1396",23
"1397",12
"1398",2
"1400",25
"1401",8
"1402",2
"1403",9
"1406",2
"1407",1
"1408",3
"1409",13
"1411",6
"1412",11
"1414",1
"1416",4
"1417",23
"1418",6
"1419",6
"1420",1
"1421",4
"1422",2
"1423",5
"1424",14
"1425",11
"1426",1
"1427",4
"1428",16
"1429",10
"1431",10
"1433",11
"1434",9
"1435",12
"1436",5
"1437",18
"1438",15
"1439",4
"1441",1
"1443",12
"1444",3
"1447",1
"1448",14
"1449",10
"1450",3
"1451",6
"1452",14
"1453",5
"1454",4
"1455",9
"1457",9
"1458",20
"1459",4
"1460",2
"1461",4
"1462",24
"1463",1
