"Team","Victories"
"1104",18
"1107",1
"1112",52
"1113",5
"1114",2
"1115",1
"1116",29
"1120",12
"1122",1
"1123",3
"1124",8
"1130",13
"1133",3
"1137",2
"1139",19
"1140",7
"1141",1
"1142",1
"1143",9
"1150",4
"1151",2
"1153",24
"1155",6
"1156",3
"1158",1
"1160",2
"1161",2
"1163",55
"1164",1
"1165",2
"1166",6
"1172",3
"1173",7
"1177",7
"1178",2
"1180",1
"1181",90
"1185",3
"1190",1
"1191",1
"1195",3
"1196",42
"1197",1
"1199",10
"1201",1
"1203",4
"1206",5
"1207",33
"1208",4
"1209",2
"1210",22
"1211",24
"1214",2
"1217",2
"1218",1
"1221",1
"1228",28
"1229",2
"1231",35
"1232",1
"1234",16
"1235",17
"1241",1
"1242",77
"1243",10
"1245",4
"1246",75
"1247",4
"1250",1
"1256",3
"1257",48
"1258",4
"1260",2
"1261",16
"1264",2
"1266",16
"1268",32
"1269",11
"1272",27
"1273",1
"1274",8
"1275",3
"1276",37
"1277",53
"1278",11
"1279",5
"1280",10
"1281",16
"1283",3
"1284",1
"1285",1
"1287",2
"1291",1
"1292",2
"1293",3
"1295",1
"1298",4
"1299",1
"1301",19
"1305",4
"1307",6
"1308",3
"1309",1
"1310",1
"1313",1
"1314",82
"1320",5
"1322",2
"1323",16
"1324",1
"1325",3
"1326",32
"1328",35
"1329",23
"1330",3
"1332",13
"1334",2
"1335",1
"1336",3
"1337",1
"1338",19
"1343",2
"1344",8
"1345",26
"1348",6
"1350",6
"1352",1
"1356",5
"1360",1
"1361",6
"1364",1
"1365",2
"1371",15
"1372",2
"1373",4
"1374",2
"1375",1
"1378",2
"1380",1
"1385",15
"1386",8
"1387",5
"1388",3
"1390",20
"1393",52
"1395",1
"1396",24
"1397",14
"1400",29
"1401",8
"1403",5
"1408",3
"1409",11
"1412",6
"1417",44
"1418",1
"1421",2
"1423",1
"1424",24
"1425",7
"1427",1
"1428",22
"1429",1
"1431",5
"1433",10
"1434",2
"1435",9
"1436",2
"1437",33
"1438",17
"1439",2
"1443",9
"1444",1
"1448",16
"1449",10
"1450",3
"1451",2
"1452",17
"1453",1
"1454",3
"1455",11
"1457",1
"1458",32
"1461",3
"1462",24
"1463",1
